timestamp, memory.used [MiB], utilization.gpu [%]
2026/02/02 02:48:22.543, 1047 MiB, 0 %
2026/02/02 02:48:37.544, 1047 MiB, 0 %
2026/02/02 02:48:52.544, 1047 MiB, 0 %
2026/02/02 02:49:07.545, 1047 MiB, 0 %
2026/02/02 02:49:22.546, 1047 MiB, 0 %
2026/02/02 02:49:37.548, 1047 MiB, 0 %
2026/02/02 02:49:52.548, 1047 MiB, 0 %
2026/02/02 02:50:07.549, 1047 MiB, 0 %
2026/02/02 02:50:22.551, 1047 MiB, 0 %
2026/02/02 02:50:37.552, 1047 MiB, 0 %
2026/02/02 02:50:52.553, 1047 MiB, 0 %
2026/02/02 02:51:07.554, 1047 MiB, 0 %
2026/02/02 02:51:22.554, 1047 MiB, 0 %
2026/02/02 02:51:37.555, 1047 MiB, 0 %
2026/02/02 02:51:52.555, 1047 MiB, 0 %
2026/02/02 02:52:07.555, 1047 MiB, 0 %
2026/02/02 02:52:22.557, 1047 MiB, 0 %
2026/02/02 02:52:37.557, 1047 MiB, 0 %
2026/02/02 02:52:52.557, 1047 MiB, 0 %
2026/02/02 02:53:07.558, 1047 MiB, 0 %
2026/02/02 02:53:22.558, 1047 MiB, 0 %
2026/02/02 02:53:37.558, 1047 MiB, 0 %
2026/02/02 02:53:52.558, 1047 MiB, 0 %
2026/02/02 02:54:07.559, 1047 MiB, 0 %
2026/02/02 02:54:22.559, 1047 MiB, 0 %
2026/02/02 02:54:37.560, 1047 MiB, 0 %
2026/02/02 02:54:52.561, 1047 MiB, 0 %
2026/02/02 02:55:07.561, 1047 MiB, 0 %
2026/02/02 02:55:22.561, 1047 MiB, 0 %
2026/02/02 02:55:37.561, 1047 MiB, 0 %
2026/02/02 02:55:52.562, 1047 MiB, 0 %
2026/02/02 02:56:07.563, 1047 MiB, 0 %
2026/02/02 02:56:22.563, 1047 MiB, 0 %
2026/02/02 02:56:37.564, 1047 MiB, 0 %
2026/02/02 02:56:52.564, 1047 MiB, 0 %
2026/02/02 02:57:07.565, 1047 MiB, 0 %
2026/02/02 02:57:22.566, 1047 MiB, 0 %
2026/02/02 02:57:37.567, 1047 MiB, 0 %
2026/02/02 02:57:52.567, 1047 MiB, 0 %
2026/02/02 02:58:07.567, 1047 MiB, 0 %
2026/02/02 02:58:22.567, 1047 MiB, 0 %
2026/02/02 02:58:37.568, 1047 MiB, 0 %
2026/02/02 02:58:52.568, 1047 MiB, 0 %
2026/02/02 02:59:07.568, 1047 MiB, 0 %
2026/02/02 02:59:22.570, 1047 MiB, 0 %
2026/02/02 02:59:37.570, 1047 MiB, 0 %
2026/02/02 02:59:52.570, 1047 MiB, 0 %
2026/02/02 03:00:07.571, 1047 MiB, 0 %
2026/02/02 03:00:22.571, 1047 MiB, 0 %
2026/02/02 03:00:37.571, 1047 MiB, 0 %
2026/02/02 03:00:52.571, 1047 MiB, 0 %
2026/02/02 03:01:07.572, 1047 MiB, 0 %
2026/02/02 03:01:22.572, 1047 MiB, 0 %
2026/02/02 03:01:37.572, 1047 MiB, 0 %
2026/02/02 03:01:52.573, 1047 MiB, 0 %
2026/02/02 03:02:07.573, 1047 MiB, 0 %
2026/02/02 03:02:22.573, 1047 MiB, 0 %
2026/02/02 03:02:37.574, 1047 MiB, 0 %
2026/02/02 03:02:52.574, 1047 MiB, 0 %
2026/02/02 03:03:07.574, 1047 MiB, 0 %
2026/02/02 03:03:22.574, 1047 MiB, 0 %
2026/02/02 03:03:37.575, 1047 MiB, 0 %
2026/02/02 03:03:52.575, 1047 MiB, 0 %
2026/02/02 03:04:07.575, 1047 MiB, 0 %
2026/02/02 03:04:22.577, 1047 MiB, 0 %
2026/02/02 03:04:37.577, 1047 MiB, 0 %
2026/02/02 03:04:52.577, 1047 MiB, 0 %
2026/02/02 03:05:07.577, 1047 MiB, 0 %
2026/02/02 03:05:22.579, 1047 MiB, 0 %
2026/02/02 03:05:37.579, 1047 MiB, 0 %
2026/02/02 03:05:52.579, 1047 MiB, 0 %
2026/02/02 03:06:07.579, 1047 MiB, 0 %
2026/02/02 03:06:22.581, 1047 MiB, 0 %
2026/02/02 03:06:37.581, 1047 MiB, 0 %
2026/02/02 03:06:52.581, 1047 MiB, 0 %
2026/02/02 03:07:07.583, 1047 MiB, 0 %
2026/02/02 03:07:22.584, 1047 MiB, 0 %
2026/02/02 03:07:37.585, 1047 MiB, 0 %
2026/02/02 03:07:52.585, 1047 MiB, 0 %
2026/02/02 03:08:07.586, 1047 MiB, 0 %
2026/02/02 03:08:22.588, 1047 MiB, 0 %
2026/02/02 03:08:37.588, 1047 MiB, 0 %
2026/02/02 03:08:52.588, 1047 MiB, 0 %
2026/02/02 03:09:07.589, 1047 MiB, 0 %
2026/02/02 03:09:22.590, 1047 MiB, 0 %
2026/02/02 03:09:37.590, 1047 MiB, 0 %
2026/02/02 03:09:52.591, 1047 MiB, 0 %
2026/02/02 03:10:07.592, 1047 MiB, 0 %
2026/02/02 03:10:22.592, 1047 MiB, 0 %
2026/02/02 03:10:37.592, 1047 MiB, 0 %
2026/02/02 03:10:52.593, 1047 MiB, 0 %
